RXNORM	STR
1767	(+)-brompheniraminum
1819	(-)-buprenorphine
1841	"(-)-17-(cyclobutylmethyl)morphinan-3,14-diol"
2400	1-(p-chlorophenyl)-1-(2-pyridyl)-3-dimethylaminopropane
2670	(-)-Codeine
2672	codeine (as phosphate)
3304	"(5α,6α)-7,8-Didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol diacetate (ester)"
3423	"(-)-(5R)-4,5-Epoxy-3-hydroxy-9α-methylmorphinan-6-one"
4337	1-Phenethyl-4-(N-phenylpropionamido)piperidine
5032	Alpha-glyceryl guaiacol ether
5489	(-)-Dihydrocodeinone
5640	(±)-2-(p-isobutylphenyl)propionic acid
6378	Levorfanol
6754	Isonipecaïne
6813	(+-)-Methadone
7052	(-)-morphine
7238	"N-cyclobutylmethyl-4,5α-epoxy-3,6α,14-morphinantriol"
7242	(-)-naloxone
7243	"17-(Cyclopropylmethyl)-4,5-epoxy-3,14-dihydroxymorphinan-6-one"
7676	Opio
7804	(-)-14-Hydroxydihydrocodeinone
7814	(14S)-14-Hydroxydihydromorphinone
8001	Pentazocin
8002	Talwin
10689	Product containing tramadol (medicinal product)
10849	(E)-2-[3-(1-pyrrolidinyl)-1-p-toluenepropenyl]pyridine
23088	DHC
30236	Morphine Sulfate
42347	Amfebutamone
42844	Percocet
82063	oxycodone HCl
82064	oxymorphone HCl
82110	tramadol HCl
91104	Codeine Sulfate
92445	hydromorphone Rectal Suppository [Dilaudid]
93199	morphine Oral Solution [MSIR]
93418	naloxone Injectable Solution [Narcan]
93564	nalbuphine Injectable Solution [Nubain]
94125	aspirin / carisoprodol / codeine Oral Tablet [Soma Compound with Codeine]
102492	heroin 0.6 MG/ML Oral Solution
102658	meperidine 25 MG Oral Tablet
102659	meperidine hydrochloride 50 MG/ML Injectable Solution [pethilorfan]
103755	Isonipecaine hydrochloride
103927	morphine sulfate 6.67 MG/ML Oral Suspension [MST Continus]
103970	tramadol hydrochloride 50 MG/ML Injectable Solution [Zydol]
103971	tramadol hydrochloride 50 MG Oral Capsule [Zydol]
104914	ASA 400 MG / Codeine 8 MG Oral Tablet
104930	morphine sulfate 10 MG Rectal Suppository [Sevredol]
104931	morphine sulfate 20 MG Rectal Suppository [Sevredol]
104932	cyclizine 50 MG/ML / morphine 10 MG/ML Injectable Solution [Cyclimorph]
104933	morphine sulfate 30 MG Rectal Suppository [Sevredol]
104934	cyclizine 50 MG/ML / morphine 15 MG/ML Injectable Solution [Cyclimorph]
104935	morphine sulfate 10 MG Extended Release Oral Tablet [MST Continus]
104937	morphine sulfate 30 MG Extended Release Oral Tablet [MST Continus]
104938	morphine sulfate 60 MG Extended Release Oral Tablet [MST Continus]
104940	morphine sulfate 100 MG Extended Release Oral Tablet [MST Continus]
104941	morphine sulfate 2 MG/ML Oral Suspension [MST Continus]
104942	morphine sulfate 3 MG/ML Oral Suspension [MST Continus]
104944	morphine sulfate 10 MG Oral Tablet [Sevredol]
104945	morphine sulfate 20 MG Oral Tablet [Sevredol]
104946	morphine sulfate 200 MG Extended Release Oral Tablet [MST Continus]
104952	morphine sulfate 6 MG/ML Oral Suspension [MST Continus]
104954	morphine sulfate 5 MG/ML Oral Suspension [MST Continus]
104955	morphine sulfate 5 MG Extended Release Oral Tablet [MST Continus]
104956	morphine sulfate 15 MG Extended Release Oral Tablet [MST Continus]
104957	buprenorphine 0.2 MG Sublingual Tablet [Subutex]
104958	buprenorphine 0.4 MG Sublingual Tablet [Subutex]
104966	Dihydrocodeine Bitartrate
104976	Fortral 30 MG/ML Injectable Solution
105069	N-cyclopropylmethylnoroxymorphone hydrochloride
106841	morphine Oral Solution
135095	aspirin / codeine
141950	methadone hydrochloride 5 MG Oral Tablet [Physeptone]
142439	Dihydrocodeinone bitartrate
149373	12 HR tapentadol 200 MG Extended Release Oral Tablet [Nucynta]
151094	Martindale Methadone DTF 1 MG/ML Oral Solution
151107	M-Eslon 10 MG Extended Release Oral Capsule
151108	M-Eslon 30 MG Extended Release Oral Capsule
151109	M-Eslon 60 MG Extended Release Oral Capsule
151110	M-Eslon 100 MG Extended Release Oral Capsule
152092	ReVia
152585	morphine sulfate 50 MG Oral Tablet [Sevredol]
152717	methadone hydrochloride 20 MG/ML Oral Solution [Methadose]
152751	Methadose
152961	tramadol hydrochloride 50 MG Oral Tablet [Zydol]
153325	methadone hydrochloride 1 MG/ML Oral Solution [Methex]
153339	hydromorphone hydrochloride 1.3 MG Oral Capsule [Palladone]
153341	hydromorphone hydrochloride 2.6 MG Oral Capsule [Palladone]
153659	12 HR morphine sulfate 10 MG Extended Release Oral Capsule [Zomorph]
153660	12 HR morphine sulfate 30 MG Extended Release Oral Capsule [Zomorph]
153661	12 HR morphine sulfate 60 MG Extended Release Oral Capsule [Zomorph]
153662	12 HR morphine sulfate 100 MG Extended Release Oral Capsule [Zomorph]
153663	12 HR morphine sulfate 200 MG Extended Release Oral Capsule [Zomorph]
153973	Levorphan tartrate
154985	nalbuphine HCl
159821	oxycodone terephthalate
187503	Tylenol with Codeine Pill
197117	Narcan
197696	72 HR fentanyl 0.075 MG/HR Transdermal System
197873	levorphanol tartrate 2 MG Oral Tablet
198402	fentanyl 1.5 MG/ML Injectable Solution
198403	fentanyl 2.5 MG/ML Injectable Solution
199400	codeine 50 MG/ML Injectable Solution
202370	Dolophine
202443	tramadol hydrochloride 50 MG Oral Capsule [Tramake]
202444	tramadol hydrochloride 50 MG Oral Capsule [Zamadol]
203170	Butorphanol Tartrate
203177	hydromorphone HCl
203192	N-allylnoroxymorphone hydrochloride
203240	Kadian
203355	Duramorph
203358	Infumorph
203840	Buprenex
205533	1 ML buprenorphine 0.3 MG/ML Injection [Buprenex]
205674	droperidol 2.5 MG/ML / fentanyl 0.05 MG/ML Injectable Solution [Innovar]
206429	L-Dromoran 2 MG Oral Tablet
206654	guaifenesin 20 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution [Hycoclar Tuss]
206655	guaifenesin 20 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution [Hycoclear]
207017	naloxone 0.5 MG / pentazocine 50 MG Oral Tablet [Talwin NX]
207260	M-Oxy 5 MG Oral Tablet
207611	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral
208155	guaifenesin 20 MG/ML / hydrocodone bitartrate 0.5 MG/ML / pseudoephedrine hydrochloride 6 MG/
210927	acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule [Roxilox]
213970	B & O Supprettes 15-A Rectal Suppository
213972	B & O Supprettes 16-A Rectal Suppository
214160	aspirin / butalbital / caffeine / codeine
214182	acetaminophen / hydrocodone
214183	acetaminophen / oxycodone
214253	aspirin / hydrocodone
214256	aspirin / oxycodone
214392	Chlorphenamine- and hydrocodone-containing product
214442	codeine / guaifenesin
214444	codeine / promethazine
214445	codeine / pseudoephedrine
214449	codeine / phenylephrine / promethazine
214450	codeine / phenylephrine / pyrilamine
214594	guaifenesin / hydrocodone
214604	guaifenesin / hydrocodone / pseudoephedrine
214614	homatropine / hydrocodone
214627	hydrocodone / ibuprofen
214631	hydrocodone / pseudoephedrine
214699	meperidine / promethazine
214721	naloxone / pentazocine
215008	Actiq
215451	aspirin / oxycodone hydrochloride / oxycodone terephthalate
215597	Belladonna alkaloid- and opium-containing product
215768	Brontex
215989	Cheracol with Codeine
215992	Cheratussin DAC
216903	Endocet
217126	Fioricet with Codeine
218337	methadone HCl
218772	Norco
218809	Nucofed
218986	Oxycontin
219013	P-V TUSSIN
219740	Roxicodone
220542	Tussigon
220586	Tylenol with Codeine
220606	Ultram
220776	Ventuss
220826	Vicoprofen
221107	Hydrocodone Polistirex
221134	Laudanum
224913	Dilaudid
226427	tramadol hydrochloride 50 MG/ML Injectable Solution [Zamadol]
235412	Codeine Polistirex
238129	1 ML buprenorphine 0.3 MG/ML Injection
238133	pentazocine 30 MG/ML Injectable Solution
243730	acetaminophen 100 MG/ML / oxycodone 1 MG/ML Oral Solution
243734	acetaminophen 325 MG / codeine 45 MG Oral Capsule
243774	droPERidol 2.5 MG/ML / fentaNYL (as fentaNYL citrate) 0.05 MG/ML Injectable Solution
245134	72 HR fentanyl 0.025 MG/HR Transdermal System
245135	72 HR fentanyl 0.05 MG/HR Transdermal System
245136	72 HR fentanyl 0.1 MG/HR Transdermal System
245395	codeine 10 MG/ML Oral Solution
245405	ASA 650 MG / Codeine 30 MG Oral Tablet
246474	buprenorphine (as buprenorphine hydrochloride) 0.2 MG Sublingual Tablet
247372	ASA 325 MG / Codeine 8 MG Oral Tablet
248440	heroin 100 MG/ML Injectable Solution
248477	belladonna alkaloids 15 MG / opium 65 MG Rectal Suppository
248505	heroin 30 MG/ML Injectable Solution
248830	codeine 1 MG/ML / guaifenesin 6 MG/ML Oral Solution
249525	acetaminophen 500 MG / codeine 20 MG Oral Tablet
249626	ASA 500 MG / Codeine 8 MG Oral Tablet
250036	acetaminophen 450 MG / caffeine 45 MG / codeine 10 MG Oral Tablet
250143	acetaminophen 500 MG / codeine 10 MG Oral Tablet
250163	acetaminophen 500 MG / codeine 10 MG Oral Capsule
250304	cyclizine 50 MG/ML / morphine 10 MG/ML Injectable Solution
250305	cyclizine 50 MG/ML / morphine 15 MG/ML Injectable Solution
250426	buprenorphine (as buprenorphine hydrochloride) 0.4 MG Sublingual Tablet
250473	diacetylmorphine HCl 10 MG Oral Tablet
250549	acetaminophen 450 MG / codeine 8.1 MG Oral Tablet
250779	heroin 5 MG/ML Injectable Solution
261106	fentanyl 0.2 MG Oral Lozenge [Actiq]
261107	fentanyl 0.6 MG Oral Lozenge [Actiq]
261108	fentanyl 0.8 MG Oral Lozenge [Actiq]
261109	fentanyl 1.2 MG Oral Lozenge [Actiq]
