RXNORM	STR
106841	morphine Oral Solution
1149373	12 HR tapentadol 200 MG Extended Release Oral Tablet [Nucynta]
1187503	Tylenol with Codeine Pill
197696	72 HR fentanyl 0.075 MG/HR Transdermal System
197873	levorphanol tartrate 2 MG Oral Tablet
205533	1 ML buprenorphine 0.3 MG/ML Injection [Buprenex]
238133	pentazocine 30 MG/ML Injectable Solution
245134	72 HR fentanyl 0.025 MG/HR Transdermal System
245135	72 HR fentanyl 0.05 MG/HR Transdermal System
245136	72 HR fentanyl 0.1 MG/HR Transdermal System
261106	fentanyl 0.2 MG Oral Lozenge [Actiq]
261107	fentanyl 0.6 MG Oral Lozenge [Actiq]
261108	fentanyl 0.8 MG Oral Lozenge [Actiq]
261109	fentanyl 1.2 MG Oral Lozenge [Actiq]
261110	fentanyl 1.6 MG Oral Lozenge [Actiq]
261184	72 HR fentanyl 0.025 MG/HR Transdermal System [Duragesic]
261185	72 HR fentanyl 0.05 MG/HR Transdermal System [Duragesic]
261186	72 HR fentanyl 0.075 MG/HR Transdermal System [Duragesic]
262071	72 HR fentanyl 0.1 MG/HR Transdermal System [Duragesic]
262219	fentanyl 0.4 MG Oral Lozenge [Actiq]
310293	fentanyl 1.2 MG Oral Lozenge
310294	fentanyl 1.6 MG Oral Lozenge
310295	fentanyl 0.2 MG Oral Lozenge
310297	fentanyl 0.4 MG Oral Lozenge
312104	belladonna alkaloids 16.2 MG / opium 30 MG Rectal Suppository
312107	belladonna alkaloids 16.2 MG / opium 60 MG Rectal Suppository
312289	naloxone 0.5 MG / pentazocine 50 MG Oral Tablet
313992	fentanyl 0.6 MG Oral Lozenge
313993	fentanyl 0.8 MG Oral Lozenge
316409	opium 30 MG
317452	opium 60 MG
328183	fentanyl 0.025 MG/HR
328184	fentanyl 0.1 MG/HR
328186	fentanyl 0.05 MG/HR
328187	fentanyl 0.075 MG/HR
328264	fentanyl 0.05 MG/ML
328385	fentanyl 0.2 MG
328387	fentanyl 0.3 MG
328388	fentanyl 0.4 MG
328697	morphine 10 MG/ML
328781	morphine 15 MG/ML
329756	fentanyl 0.1 MG
330335	fentanyl 1.2 MG
330336	fentanyl 1.6 MG
330337	fentanyl 0.8 MG
330801	buprenorphine 0.3 MG/ML
330860	fentanyl 0.6 MG
332698	buprenorphine 0.7 MG
333004	heroin 10 MG
333623	buprenorphine 0.4 MG
343216	naloxone 0.5 MG
351264	buprenorphine 2 MG Sublingual Tablet
351265	buprenorphine 8 MG Sublingual Tablet
351266	buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet
351267	buprenorphine 8 MG / naloxone 2 MG Sublingual Tablet
