Rxnorm	description
1767	(+)-brompheniraminum
1818	Subutex
1819	(-)-buprenorphine
1841	"(-)-17-(cyclobutylmethyl)morphinan-3,14-diol"
2400	1-(p-chlorophenyl)-1-(2-pyridyl)-3-dimethylaminopropane
2670	(-)-Codeine
2672	codeine (as phosphate)
3304	"(5α,6α)-7,8-Didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol diacetate (ester)"
3423	"(-)-(5R)-4,5-Epoxy-3-hydroxy-9α-methylmorphinan-6-one"
4337	1-Phenethyl-4-(N-phenylpropionamido)piperidine
5032	Alpha-glyceryl guaiacol ether
5489	(-)-Dihydrocodeinone
5640	(±)-2-(p-isobutylphenyl)propionic acid
6378	Levorfanol
6754	Isonipecaïne
6813	(+-)-Methadone
7052	(-)-morphine
7238	"N-cyclobutylmethyl-4,5α-epoxy-3,6α,14-morphinantriol"
7242	(-)-naloxone
7243	"17-(Cyclopropylmethyl)-4,5-epoxy-3,14-dihydroxymorphinan-6-one"
7550	Nubain
7676	Opio
7804	(-)-14-Hydroxydihydrocodeinone
7814	(14S)-14-Hydroxydihydromorphinone
8001	Pentazocin
8002	Talwin
10022	Stadol
10689	Product containing tramadol (medicinal product)
10849	(E)-2-[3-(1-pyrrolidinyl)-1-p-toluenepropenyl]pyridine
23088	DHC
30236	Morphine Sulfate
33142	Percodan
37553	Talwin NX
42347	Amfebutamone
42844	Percocet
49527	Endodan
49991	droperidol / fentanyl
71534	Triprolidine HCl
81994	diacetylmorphine HCl
82063	oxycodone HCl
82064	oxymorphone HCl
82110	tramadol HCl
91104	Codeine Sulfate
92194	Codimal DH
92197	Codimal PH
92318	Damason-P
92445	hydromorphone Rectal Suppository [Dilaudid]
92532	DuoCet
92591	Empirin with Codeine
92970	droperidol / fentanyl Injectable Solution [Innovar]
93199	morphine Oral Solution [MSIR]
93418	naloxone Injectable Solution [Narcan]
93550	Novahistine DH
93553	Novahistine Expectorant
93564	nalbuphine Injectable Solution [Nubain]
93566	Nucofed Expectorant
93764	Phenergan VC with Codeine
93766	Phenergan with Codeine
94125	aspirin / carisoprodol / codeine Oral Tablet [Soma Compound with Codeine]
94239	Talwin Compound
102492	heroin 0.6 MG/ML Oral Solution
102639	Duromorph 64 MG/ML Injectable Solution
102658	meperidine 25 MG Oral Tablet
102659	meperidine hydrochloride 50 MG/ML Injectable Solution [pethilorfan]
103755	Isonipecaine hydrochloride
103927	morphine sulfate 6.67 MG/ML Oral Suspension [MST Continus]
103970	tramadol hydrochloride 50 MG/ML Injectable Solution [Zydol]
103971	tramadol hydrochloride 50 MG Oral Capsule [Zydol]
104914	ASA 400 MG / Codeine 8 MG Oral Tablet
104930	morphine sulfate 10 MG Rectal Suppository [Sevredol]
104931	morphine sulfate 20 MG Rectal Suppository [Sevredol]
104932	cyclizine 50 MG/ML / morphine 10 MG/ML Injectable Solution [Cyclimorph]
104933	morphine sulfate 30 MG Rectal Suppository [Sevredol]
104934	cyclizine 50 MG/ML / morphine 15 MG/ML Injectable Solution [Cyclimorph]
104935	morphine sulfate 10 MG Extended Release Oral Tablet [MST Continus]
104937	morphine sulfate 30 MG Extended Release Oral Tablet [MST Continus]
104938	morphine sulfate 60 MG Extended Release Oral Tablet [MST Continus]
104940	morphine sulfate 100 MG Extended Release Oral Tablet [MST Continus]
104941	morphine sulfate 2 MG/ML Oral Suspension [MST Continus]
104942	morphine sulfate 3 MG/ML Oral Suspension [MST Continus]
104944	morphine sulfate 10 MG Oral Tablet [Sevredol]
104945	morphine sulfate 20 MG Oral Tablet [Sevredol]
104946	morphine sulfate 200 MG Extended Release Oral Tablet [MST Continus]
104952	morphine sulfate 6 MG/ML Oral Suspension [MST Continus]
104954	morphine sulfate 5 MG/ML Oral Suspension [MST Continus]
104955	morphine sulfate 5 MG Extended Release Oral Tablet [MST Continus]
104956	morphine sulfate 15 MG Extended Release Oral Tablet [MST Continus]
104957	buprenorphine 0.2 MG Sublingual Tablet [Subutex]
104958	buprenorphine 0.4 MG Sublingual Tablet [Subutex]
104966	Dihydrocodeine Bitartrate
104973	pentazocine HCl
104974	Fortral 50 MG Oral Capsule
104976	Fortral 30 MG/ML Injectable Solution
104977	Fortral 50 MG Rectal Suppository
105069	N-cyclopropylmethylnoroxymorphone hydrochloride
106826	pentazocine 60 MG/ML Injectable Solution
106841	morphine Oral Solution
128793	Vicodin
135095	aspirin / codeine
141950	methadone hydrochloride 5 MG Oral Tablet [Physeptone]
142436	fentanyl (as citrate)
142439	Dihydrocodeinone bitartrate
149373	12 HR tapentadol 200 MG Extended Release Oral Tablet [Nucynta]
151094	Martindale Methadone DTF 1 MG/ML Oral Solution
151107	M-Eslon 10 MG Extended Release Oral Capsule
151108	M-Eslon 30 MG Extended Release Oral Capsule
151109	M-Eslon 60 MG Extended Release Oral Capsule
151110	M-Eslon 100 MG Extended Release Oral Capsule
151196	acetaminophen / dihydrocodeine
151531	Codafen
151789	Fortral
151999	M-Eslon
152092	ReVia
152164	Oramorph
152287	Relcofen
152356	Sevredol
152585	morphine sulfate 50 MG Oral Tablet [Sevredol]
152717	methadone hydrochloride 20 MG/ML Oral Solution [Methadose]
152751	Methadose
152768	Tramake
152961	tramadol hydrochloride 50 MG Oral Tablet [Zydol]
153016	Zamadol
153325	methadone hydrochloride 1 MG/ML Oral Solution [Methex]
153339	hydromorphone hydrochloride 1.3 MG Oral Capsule [Palladone]
