2471302	.BETA.-AMYLOID PROTEIN-(1-6)-PEPTIDYLGLYCYLGLYCYL-L-CYSTEINE-3-(2,5-DIOXO-2,5-DIHYDRO-1H-PYRROLE-1-YL)-N-(6-((2,5-DIOXOPYRROLIDIN-1-YL)OXY)-6-OXOHEXYL)PROPANAMIDE-ALANINE	SU	MTHSPL	opana	5
2471302	.beta.-amyloid protein-(1-6)-peptidylglycylglycyl-L-cysteine-3-(2,5-dioxo-2,5-dihydro-1H-pyrrole-1-yl)-n-(6-((2,5-dioxopyrrolidin-1-yl)oxy)-6-oxohexyl)propanamide-alanine	IN	RXNORM	opana	5
4493	(+-)-N-Methyl-gamma-(4-(trifluoromethyl)phenoxy)benzenepropanamine	SY	DRUGBANK	opana	5
623400	(+)-(2R)-2-(ACETYLAMINO)-N-BENZYL-3-METHOXYPROPANAMIDE	SY	DRUGBANK	opana	5
623400	(2R)-2-(Acetylamino)-3-methoxy-N-(phenylmethyl)propanamide	SY	DRUGBANK	opana	5
2666598	(2S,3R)-N-[(2S)-3-(cyclopent-1-en-1-yl)-1-[(2R)-2-methyloxiran-2-yl]-1-oxopropan-2-yl]-3-hydroxy-3-(4-methoxyphenyl)-2-[(2S)-2-[2-(morpholin-4-yl)acetamido]propanamido]propanamide	SY	DRUGBANK	opana	5
2629198	(2S)-2-((2-((4S)-4-(difluoromethyl)-2-oxo-3-oxazolidinyl)-5,6-dihydroimidazo(1,2-D)(1,4)benzoxazepin-9-yl)amino)propanamide	SY	DRUGBANK	opana	5
2644740	(2S)-N-[(1S)-1-cyclohexyl-2-[(2S)-2-[4-(4-fluorobenzoyl)-1,3-thiazol-2-yl]pyrrolidin-1-yl]-2-oxoethyl]-2-(methylamino)propanamide	SY	DRUGBANK	opana	5
2623110	(5S,8S, 10aR)-N-benzhydryl-5-((S)-2-(methylamino)propanamido)-3-(3-methylbutanoyl)-6-oxodecahydropyrrolo[1,2-a][1,5] diazocine-8-carboxyamide	SY	DRUGBANK	opana	5
391567	(R,S)-norcoclaurine 6-O-methyltransferase	PT	SNOMEDCT_US	norco	5
391567	(R,S)-norcoclaurine 6-O-methyltransferase (substance)	FN	SNOMEDCT_US	norco	5
2666524	(s)-3-((s)-2-(2-((2,6-difluorophenyl)amino)-2-oxoacetamido)propanamido)-4-oxo-5-(2,3,5,6-tetrafluorophenoxy)pentanoic acid	SY	DRUGBANK	opana	5
2631739	(s)-isopropyl 2-((s)-2-acetamido-3-(1h-indol-3-yl)propanamido)-6-diazo-5-oxohexanoate	SY	DRUGBANK	opana	5
2371068	{2 (apomorphine hydrochloride 10 MG Sublingual Film [Kynmobi]) / 2 (apomorphine hydrochloride 15 MG Sublingual Film [Kynmobi]) / 2 (apomorphine hydrochloride 20 MG Sublingual Film [Kynmobi]) / 2 (apomorphine hydrochloride 25 MG Sublingual Film [Kynmobi]) / 2 (apomorphine hydrochloride 30 MG Sublingual Film [Kynmobi]) } Pack [Kynmobi Titration Kit]	BPCK	RXNORM	morphine	8
2371067	{2 (apomorphine hydrochloride 10 MG Sublingual Film) / 2 (apomorphine hydrochloride 15 MG Sublingual Film) / 2 (apomorphine hydrochloride 20 MG Sublingual Film) / 2 (apomorphine hydrochloride 25 MG Sublingual Film) / 2 (apomorphine hydrochloride 30 MG Sublingual Film) } Pack	GPCK	RXNORM	morphine	8
1244063	0.4 ML methylnaltrexone bromide 20 MG/ML Prefilled Syringe	SCD	RXNORM	naltrexone	10
1244064	0.4 ML methylnaltrexone bromide 20 MG/ML Prefilled Syringe [Relistor]	SBD	RXNORM	naltrexone	10
979113	0.6 ML methylnaltrexone bromide 20 MG/ML Injection	SCD	RXNORM	naltrexone	10
979115	0.6 ML methylnaltrexone bromide 20 MG/ML Injection [Relistor]	SBD	RXNORM	naltrexone	10
1244060	0.6 ML methylnaltrexone bromide 20 MG/ML Prefilled Syringe	SCD	RXNORM	naltrexone	10
1244062	0.6 ML methylnaltrexone bromide 20 MG/ML Prefilled Syringe [Relistor]	SBD	RXNORM	naltrexone	10
977935	1 ML oxymorphone hydrochloride 1 MG/ML Injection	SCD	RXNORM	morphone	8
977935	1 ML oxyMORphone hydrochloride 1 MG/ML Injection	TMSY	RXNORM	morphone	8
1809099	1 ML Sufenta 0.05 MG/ML Injection	SY	RXNORM	sufenta	7
1809097	1 ML sufentanil 0.05 MG/ML Injection	SCD	RXNORM	sufenta	7
1809097	1 ML SUFentanil 0.05 MG/ML Injection	TMSY	RXNORM	sufenta	7
1809099	1 ML sufentanil 0.05 MG/ML Injection [Sufenta]	SBD	RXNORM	sufenta	7
1809099	1 ML SUFentanil 0.05 MG/ML Injection [Sufenta]	TMSY	RXNORM	sufenta	7
27553	1-(1H-Indol-3-yl)-2-propanamine	SY	DRUGBANK	opana	5
6926	1-(2,6-dimethylphenoxy)-2-propanamine	SY	DRUGBANK	opana	5
1433756	1-propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt, (2S)-	IN	RXNORM	opana	5
2613036	1,4-piperazinedipropanamine, n'-1h-benzimidazol-2-yl-n,n-bis(2-methylpropyl)-	SY	DRUGBANK	opana	5
2613036	1,4-piperazinedipropanamine, n4-1h-benzimidazol-2-yl-n1,n1-bis(2-methylpropyl)-	SY	DRUGBANK	opana	5
793283	10 ML apomorphine 5 MG/ML Prefilled Syringe	SCD	RXNORM	morphine	8
5691	10,11-dihydro-N,N-dimethyl-5H-dibenz[b,f]azepine-5-propanamine	SY	DRUGBANK	opana	5
10834	10,11-dihydro-N,N,β-trimethyl-5H-dibenz[b,f]azepine-5-propanamine	SY	DRUGBANK	opana	5
612609	11C-CARFENTANIL	SY	DRUGBANK	carfentanil	11
1300437	12 HR carbetapentane citrate 5 MG / guaifenesin 1000 MG Extended Release Oral Tablet [Allfen C]	SBD	RXNORM	allfen c	8
1300437	12 HR carbetapentane citrate 5 MG / guaiFENesin 1000 MG Extended Release Oral Tablet [Allfen C]	TMSY	RXNORM	allfen c	8
1300438	12 HR carbetapentane citrate 60 MG / guaifenesin 1000 MG Extended Release Oral Tablet [Allfen CX]	SBD	RXNORM	allfen c	8
1300438	12 HR carbetapentane citrate 60 MG / guaiFENesin 1000 MG Extended Release Oral Tablet [Allfen CX]	TMSY	RXNORM	allfen c	8
212408	12 HR Duratuss G 1200 MG Extended Release Oral Tablet	SY	RXNORM	atuss g	7
212408	12 HR guaifenesin 1200 MG Extended Release Oral Tablet [Duratuss G]	SBD	RXNORM	atuss g	7
212408	12 HR guaiFENesin 1200 MG Extended Release Oral Tablet [Duratuss G]	TMSY	RXNORM	atuss g	7
1809103	2 ML Sufenta 0.05 MG/ML Injection	SY	RXNORM	sufenta	7
1809102	2 ML sufentanil 0.05 MG/ML Injection	SCD	RXNORM	sufenta	7
1809102	2 ML SUFentanil 0.05 MG/ML Injection	TMSY	RXNORM	sufenta	7
1809103	2 ML sufentanil 0.05 MG/ML Injection [Sufenta]	SBD	RXNORM	sufenta	7
1809103	2 ML SUFentanil 0.05 MG/ML Injection [Sufenta]	TMSY	RXNORM	sufenta	7
1552337	2-[3,5-Bis(trifluoromethyl)phenyl]-N,2-dimethyl-N-[4-(2-methylphenyl)-6-(4-methyl-1-piperazinyl)-3-pyridinyl]propanamide	SY	DRUGBANK	opana	5
42359	2-amino-N-(2,6-dimethylphenyl)propanamide	SY	DRUGBANK	opana	5
1805438	2-amino-n-(3-(benzyloxy)-1-(1-methanesulfonyl-1,2-dihydrospiro(indole-3,4'-piperidin)-1'-yl)-1-oxopropan-2-yl)-2-methylpropanamide	SY	DRUGBANK	opana	5
1947505	2-PHENYLPROPANAL PROPYLENE GLYCOL ACETAL	SU	MTHSPL	opana	5
1947505	2-phenylpropanal propylene glycol acetal	PIN	RXNORM	opana	5
33266	2,5-Dimethylfentanyl	SY	DRUGBANK	fentanyl	8
855856	3 ML apomorphine hydrochloride 10 MG/ML Cartridge	SCD	RXNORM	morphine	8
855858	3 ML apomorphine hydrochloride 10 MG/ML Cartridge [Apokyn]	SBD	RXNORM	morphine	8
704	3-(10,11-dihydro-5H-dibenzo(a,d)cyclohepten-5-ylidene)-N,N-dimethyl-1-propanamine	SY	DRUGBANK	opana	5
7531	3-(10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5-ylidene)-N-methyl-1-propanamine	SY	DRUGBANK	opana	5
2403	3-(2-chloro-10H-phenothiazin-10-yl)-N,N-dimethyl-1-propanamine	SY	DRUGBANK	opana	5
2666378	3-(3-(6-Guanidino-1-oxoisoindolin-2yl)propanamido)-3-(pyridine-3yl)propanoic acid	IN	DRUGBANK	opana	5
2597	3-(3-chloro-10,11-dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethyl-1-propanamine	SY	DRUGBANK	opana	5
1376341	3-(3,4-methylenedioxyphenyl)-2-methylpropanal	IN	RXNORM	opana	5
